code,description,sector,borderline
50490,other building completion n.e.c.,not in scope,FALSE
50500,renting of construction or demolition equipment with operators,not in scope,FALSE
61101,sales by commission agents,not in scope,FALSE
61102,sales by commodity brokers,not in scope,FALSE
61103,sales by auctioneers,not in scope,FALSE
61210,wholesale trade in agricultural raw materials and livestock,not in scope,FALSE
61221,wholesale trade in foodstuffs,not in scope,FALSE
61310,"wholesale trade in textiles, clothing and footwear",not in scope,FALSE
61391,wholesale trade in household furniture requisites and appliances,not in scope,FALSE
61394,"wholesale trade in pharmaceuticals, toiletries and medical equipment",not in scope,FALSE
61399,wholesale trade in other household goods n.e.c,not in scope,FALSE
61410,"wholesale trade in solid, liquid and gaseous fuels and related products",not in scope,FALSE
61420,wholesale trade in metal and metal ores,not in scope,FALSE
61430,"wholesale trade in construction materials, hardware, plumbing and heating equipment and supplies",not in scope,FALSE
61490,"wholesale trade in other intermediate products, waste and scrap",not in scope,FALSE
61501,office machinery and equipment including computers,not in scope,FALSE
61509,other machinery,not in scope,FALSE
61901,general wholesale trade,not in scope,FALSE
61909,other wholesale trade n.e.c.,not in scope,FALSE
62110,"retail trade in non-specialised stores with food, beverages and tobacco predominating",not in scope,FALSE
62190,other retail trade in non-specialised stores,not in scope,FALSE
62202,retail trade in meat and meat products,not in scope,FALSE
62203,retail trade in bakery products,not in scope,FALSE
62209,"other retail trade in food, beverages and tobacco n.e.c.",not in scope,FALSE
62310,"retail trade in pharmaceutical and medical goods, cosmetic and toilet articles",not in scope,FALSE
62322,retail trade in ladies' and girls' clothing,not in scope,FALSE
62323,"retail trade by general outfitters and by dealers in piece goods, textiles, leather and travel accessories",not in scope,FALSE
62330,"retail trade in household furniture appliances, articles and equipment",not in scope,FALSE
62340,"retail trade in hardware, paints and glass",not in scope,FALSE
62393,retail trade in sports goods and entertainment requisites,not in scope,FALSE
62399,retail trade by other specialised stores,not in scope,FALSE
62520,retail trade via stalls and markets,not in scope,FALSE
62590,other retail trade not in stores,not in scope,FALSE
63110,wholesale sale of motor vehicles,not in scope,FALSE
63121,retail sale of new motor vehicles,not in scope,FALSE
63122,retail sale of used motor vehicles,not in scope,FALSE
63201,general repairs,not in scope,FALSE
63202,electrical repairs,not in scope,FALSE
63204,body repairs,not in scope,FALSE
63319,sale of other new parts and accessories,not in scope,FALSE
63500,retail sale of automotive fuel,not in scope,FALSE
64101,"hotels, motels, botels and inns registered with the sa tourism board",not in scope,FALSE
64103,guest-houses and guest-farms,not in scope,FALSE
64201,restaurants or tearooms with liquor licence,not in scope,FALSE
64204,caterers,not in scope,FALSE
64209,other catering services n.e.c.,not in scope,FALSE
71112,railway commuter services,not in scope,FALSE
71229,"other passenger transport, including the renting of passenger motor vehicles with drivers",not in scope,FALSE
71239,other freight transport by road,not in scope,FALSE
71300,transport via pipelines,not in scope,FALSE
72112,ocean shipping,shipping,FALSE
72200,inland water transport,not in scope,FALSE
73000,air transport,aviation,TRUE
74110,cargo handling,not in scope,FALSE
74120,storage and warehousing,not in scope,FALSE
74133,"maintenance and operation of harbour works, lighthouses, etc., pilotage",not in scope,FALSE
74134,"operation of airports, flying fields and air navigation facilities",not in scope,FALSE
74135,operation of roads and toll roads,not in scope,FALSE
74139,other supporting transport activities n.e.c.,not in scope,FALSE
74140,travel agency and related activities,not in scope,FALSE
74190,activities of other transport agencies,not in scope,FALSE
75120,courier activities other than national postal activities,not in scope,FALSE
75200,telecommunication,not in scope,FALSE
81110,central banking,not in scope,FALSE
81121,discount houses and commercial and other banking,not in scope,FALSE
81122,building society activities,not in scope,FALSE
81910,lease financing,not in scope,FALSE
81920,other credit granting,not in scope,FALSE
81990,other financial intermediation n.e.c.,not in scope,FALSE
82110,life insurance,not in scope,FALSE
82120,pension funding,not in scope,FALSE
82130,medical aid funding,not in scope,FALSE
82190,other insurance n.e.c.,not in scope,FALSE
83110,administration of financial markets,not in scope,FALSE
83120,security dealing activities,not in scope,FALSE
83190,activities auxiliary to financial intermediation n.e.c.,not in scope,FALSE
83200,activities auxiliary to insurance and pension funding,not in scope,FALSE
84110,property owning and letting,not in scope,FALSE
84120,"developing real estate, subdividing real estate into lots and residential development on own account",not in scope,FALSE
84130,owning and/or sale of own fixed property,not in scope,FALSE
84210,"activities of estate agencies, rent collectors, appraisers and valuers",not in scope,FALSE
85220,renting of construction and civil engineering machinery and equipment,not in scope,FALSE
85230,renting of office machinery and equipment (including computers),not in scope,FALSE
85290,renting of other machinery and equipment n.e.c.,not in scope,FALSE
86100,hardware consultancy,not in scope,FALSE
86200,software consultancy and supply,not in scope,FALSE
86300,data processing,not in scope,FALSE
86400,data base activities,not in scope,FALSE
86900,other computer related activities,not in scope,FALSE
87120,agricultural and livestock research,not in scope,FALSE
87190,other research n.e.c.,not in scope,FALSE
88111,"activities of attorneys, notaries and conveyancers",not in scope,FALSE
88121,activities of accountants and auditors registered in terms of the public accountants and auditors act,not in scope,FALSE
88140,business and management consultancy activities,not in scope,FALSE
88212,architectural activities,not in scope,FALSE
88214,activities of land surveyors,not in scope,FALSE
88311,activities of advertising agents,not in scope,FALSE
88911,activities of employment agencies and recruiting organisations,not in scope,FALSE
88920,investigation and security activities,not in scope,FALSE
88950,packaging activities,not in scope,FALSE
88991,credit rating agency activities,not in scope,FALSE
88999,other business activities n.e.c.,not in scope,FALSE
92006,education by teachers' training colleges of education for further training,not in scope,FALSE
92007,education by universities,not in scope,FALSE
92008,education by correspondence and private vocational colleges,not in scope,FALSE
92009,"other educational services - own account teachers, motor vehicle driving schools/tutors and music, dancing and other art schools, etc.",not in scope,FALSE
93111,general hospitals,not in scope,FALSE
93119,"other hospitals, n.e.c.",not in scope,FALSE
93121,medical practitioner and specialist activities,not in scope,FALSE
93122,dentist and specialist dentist activities,not in scope,FALSE
93192,clinics and related health care services,not in scope,FALSE
93194,chiropractors and other associated health care services,not in scope,FALSE
93199,other health services,not in scope,FALSE
93300,social work activities,not in scope,FALSE
94000,"sewage and refuse disposal, sanitation and similar activities",not in scope,FALSE
95110,activities of business and employers' organisations,not in scope,FALSE
95120,activities of professional organisations,not in scope,FALSE
95910,activities of religious organisations,not in scope,FALSE
96130,radio and television activities,not in scope,FALSE
96200,news agency activities,not in scope,FALSE
96330,botanical and zoological gardens and nature reserve activities,not in scope,FALSE
96410,sporting activities,not in scope,FALSE
96490,other recreational activities,not in scope,FALSE
99090,other service activities n.e.c.,not in scope,FALSE
