"ISIC Rev 5 Code","ISIC Rev 5 Title"
"2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"22","Manufacture of rubber and plastic products"
"221","Manufacture of rubber products"
"2211","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"2219","Manufacture of other rubber products"
"222","Manufacture of plastics products"
"2220","Manufacture of plastics products"
"23","Manufacture of other non-metallic mineral products"
"231","Manufacture of glass and glass products"
"2310","Manufacture of glass and glass products"
"239","Manufacture of non-metallic mineral products n.e.c."
"2391","Manufacture of refractory products"
"2392","Manufacture of clay building materials"
"2393","Manufacture of other porcelain and ceramic products"
"2394","Manufacture of cement, lime and plaster"
"2395","Manufacture of articles of concrete, cement and plaster"
"2396","Cutting, shaping and finishing of stone"
"2399","Manufacture of other non-metallic mineral products n.e.c."
"24","Manufacture of basic metals"
"241","Manufacture of basic iron and steel"
"2410","Manufacture of basic iron and steel"
"242","Manufacture of basic precious and other non-ferrous metals"
"2420","Manufacture of basic precious and other non-ferrous metals"
"243","Casting of metals"
"2431","Casting of iron and steel"
"2432","Casting of non-ferrous metals"
"25","Manufacture of fabricated metal products, except machinery and equipment"
"251","Manufacture of structural metal products, tanks, reservoirs and steam generators"
"2511","Manufacture of structural metal products"
"2512","Manufacture of tanks, reservoirs and containers of metal"
"2513","Manufacture of steam generators, except central heating hot water boilers"
"252","Manufacture of weapons and ammunition"
"2520","Manufacture of weapons and ammunition"
"259","Manufacture of other fabricated metal products; metalworking service activities"
"2591","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"2592","Treatment and coating of metals; machining"
"2593","Manufacture of cutlery, hand tools and general hardware"
"2599","Manufacture of other fabricated metal products n.e.c."
"26","Manufacture of computer, electronic and optical products"
"261","Manufacture of electronic components and boards"
"2611","Manufacture of solar cells, solar panels and photovoltaic inverters"
"2619","Manufacture of other electronic components and boards"
"262","Manufacture of computers and peripheral equipment"
"2620","Manufacture of computers and peripheral equipment"
"263","Manufacture of communication equipment"
"2630","Manufacture of communication equipment"
"264","Manufacture of consumer electronics"
"2640","Manufacture of consumer electronics"
"265","Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
"2651","Manufacture of measuring, testing, navigating and control equipment"
"2652","Manufacture of watches and clocks"
"266","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"2660","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"267","Manufacture of optical instruments and photographic equipment"
"2670","Manufacture of optical instruments and photographic equipment"
"268","Manufacture of magnetic and optical media"
"2680","Manufacture of magnetic and optical media"
"27","Manufacture of electrical equipment"
"271","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"2710","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"272","Manufacture of batteries and accumulators"
"2720","Manufacture of batteries and accumulators"
"273","Manufacture of wiring and wiring devices"
"2731","Manufacture of fibre optic cables"
"2732","Manufacture of other electronic and electric wires and cables"
"2733","Manufacture of wiring devices"
"274","Manufacture of lighting equipment"
"2740","Manufacture of lighting equipment"
"275","Manufacture of domestic appliances"
"2750","Manufacture of domestic appliances"
"279","Manufacture of other electrical equipment"
"2790","Manufacture of other electrical equipment"
"28","Manufacture of machinery and equipment n.e.c."
"281","Manufacture of general-purpose machinery"
"2811","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"2812","Manufacture of fluid power equipment"
"2813","Manufacture of other pumps, compressors, taps and valves"
"2814","Manufacture of bearings, gears, gearing and driving elements"
"2815","Manufacture of ovens, furnaces and permanent household heating equipment"
"2816","Manufacture of lifting and handling equipment"
"2817","Manufacture of office machinery and equipment (except computers and peripheral equipment)"
"2818","Manufacture of power-driven hand tools"
"2819","Manufacture of other general-purpose machinery"
"282","Manufacture of special-purpose machinery"
"2821","Manufacture of agricultural and forestry machinery"
"2822","Manufacture of metal-forming machinery and machine tools"
"2823","Manufacture of machinery for metallurgy"
"2824","Manufacture of machinery for mining, quarrying and construction"
"2825","Manufacture of machinery for food, beverage and tobacco processing"
"2826","Manufacture of machinery for textile, apparel and leather production"
"2829","Manufacture of other special-purpose machinery"
"29","Manufacture of motor vehicles, trailers and semi-trailers"
"291","Manufacture of motor vehicles"
"2910","Manufacture of motor vehicles"
"292","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"2920","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"293","Manufacture of parts and accessories for motor vehicles"
"2930","Manufacture of parts and accessories for motor vehicles"
"30","Manufacture of other transport equipment"
"301","Building of ships and boats"
"3011","Building of ships and floating structures"
"3012","Building of pleasure and sporting boats"
"302","Manufacture of railway locomotives and rolling stock"
"3020","Manufacture of railway locomotives and rolling stock"
"303","Manufacture of air and spacecraft and related machinery"
"3030","Manufacture of air and spacecraft and related machinery"
"304","Manufacture of military fighting vehicles"
"3040","Manufacture of military fighting vehicles"
"309","Manufacture of transport equipment n.e.c."
"3091","Manufacture of motorcycles"
"3092","Manufacture of bicycles and invalid carriages"
"3099","Manufacture of other transport equipment n.e.c."
"31","Manufacture of furniture"
"310","Manufacture of furniture"
"3101","Manufacture of wooden furniture"
"3102","Manufacture of other furniture"
"32","Other manufacturing"
"321","Manufacture of jewellery, bijouterie and related articles"
"3211","Manufacture of jewellery and related articles"
"3212","Manufacture of imitation jewellery and related articles"
"322","Manufacture of musical instruments"
"3220","Manufacture of musical instruments"
"323","Manufacture of sports goods"
"3230","Manufacture of sports goods"
"324","Manufacture of games and toys"
"3240","Manufacture of games and toys"
"325","Manufacture of medical and dental instruments and supplies"
"3250","Manufacture of medical and dental instruments and supplies"
"329","Other manufacturing n.e.c."
"3290","Other manufacturing n.e.c."
"33","Repair, maintenance and installation of machinery and equipment"
"331","Repair and maintenance of fabricated metal products, machinery and equipment"
"3311","Repair and maintenance of fabricated metal products"
"3312","Repair and maintenance of machinery"
"3313","Repair and maintenance of electronic and optical equipment"
"3314","Repair and maintenance of electrical equipment"
"3315","Repair and maintenance of transport equipment, except motor vehicles"
"3319","Repair and maintenance of other equipment"
"332","Installation of industrial machinery and equipment"
"3320","Installation of industrial machinery and equipment"
"D","Electricity, gas, steam and air conditioning supply"
"35","Electricity, gas, steam and air conditioning supply"
"351","Electric power generation, transmission and distribution activities"
"3511","Electric power generation activities from non-renewable sources"
"3512","Electric power generation activities from renewable sources"
"3513","Electric power transmission and distribution activities"
"352","Manufacture of gas; distribution of gaseous fuels through mains"
"3520","Manufacture of gas; distribution of gaseous fuels through mains"
"353","Steam and air conditioning supply"
"3530","Steam and air conditioning supply"
"354","Activities of brokers and agents for electric power and natural gas"
"3540","Activities of brokers and agents for electric power and natural gas"
"E","Water supply; sewerage, waste management and remediation activities"
"36","Water collection, treatment and supply"
"360","Water collection, treatment and supply"
"3600","Water collection, treatment and supply"
"37","Sewerage"
"370","Sewerage"
"3700","Sewerage"
"38","Waste collection, treatment and disposal, and recovery activities"
"381","Waste collection activities"
"3811","Collection of non-hazardous waste"
"3812","Collection of hazardous waste"
"382","Waste treatment and disposal"
"3821","Treatment and disposal of non-hazardous waste"
"3822","Treatment and disposal of hazardous waste"
"383","Materials and other waste recovery"
"3830","Materials and other waste recovery"
"39","Remediation and other waste management service activities"
"390","Remediation and other waste management service activities"
"3900","Remediation and other waste management service activities"
"F","Construction"
"41","Construction of residential and non-residential buildings"
"410","Construction of residential and non-residential buildings"
"4100","Construction of residential and non-residential buildings"
"42","Civil engineering"
"421","Construction of roads and railways"
"4210","Construction of roads and railways"
"422","Construction of utility projects"
"4220","Construction of utility projects"
"429","Construction of other civil engineering projects"
"4290","Construction of other civil engineering projects"
"43","Specialized construction activities"
"431","Demolition and site preparation"
"4311","Demolition"
"4312","Site preparation"
"432","Electrical, plumbing and other construction installation activities"
"4321","Electrical installation"
"4322","Plumbing, heat and air-conditioning installation"
"4329","Other construction installation"
"433","Building completion and finishing"
"4330","Building completion and finishing"
"434","Intermediation service activities for specialized construction services"
"4340","Intermediation service activities for specialized construction services"
"439","Other specialized construction activities"
"4390","Other specialized construction activities"
"G","Wholesale and retail trade"
"46","Wholesale trade"
"461","Wholesale on a fee or contract basis"
"4610","Wholesale on a fee or contract basis"
"462","Wholesale of agricultural raw materials and live animals"
"4620","Wholesale of agricultural raw materials and live animals"
"463","Wholesale of food, beverages and tobacco"
"4630","Wholesale of food, beverages and tobacco"
"464","Wholesale of household goods"
"4641","Wholesale of textiles, clothing and footwear"
"4642","Wholesale of household, office and shop furniture, carpets and lighting equipment"
"4649","Wholesale of other household goods"
"465","Wholesale of machinery, equipment and supplies"
"4651","Wholesale of computers, computer peripheral equipment and software"
"4652","Wholesale of electronic and telecommunications equipment and parts"
"4653","Wholesale of agricultural machinery, equipment and supplies"
"4659","Wholesale of other machinery and equipment"
"466","Wholesale of motor vehicles, motorcycles and related parts and accessories"
"4661","Wholesale of motor vehicles"
"4662","Wholesale of motor vehicle parts and accessories"
"4663","Wholesale of motorcycles, motorcycle parts and accessories"
"467","Other specialized wholesale"
"4671","Wholesale of solid, liquid and gaseous fuels and related products"
"4672","Wholesale of metals and metal ores"
"4673","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"4679","Wholesale of chemicals, waste and scrap and other products n.e.c."
"469","Non-specialized wholesale trade"
"4690","Non-specialized wholesale trade"
"47","Retail trade"
"471","Non-specialized retail sale"
"4711","Non-specialized retail sale with food, beverages or tobacco predominating"
"4719","Other non-specialized retail sale"
"472","Retail sale of food, beverages and tobacco"
"4721","Retail sale of food"
"4722","Retail sale of beverages"
"4723","Retail sale of tobacco products"
"473","Retail sale of automotive fuel"
"4730","Retail sale of automotive fuel"
"474","Retail sale of information and communication equipment"
"4740","Retail sale of information and communication equipment"
"475","Retail sale of other household equipment"
"4751","Retail sale of textiles"
"4752","Retail sale of hardware, building materials, paints and glass"
"4753","Retail sale of carpets, rugs, wall and floor coverings"
"4759","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles"
"476","Retail sale of cultural and recreational goods"
"4761","Retail sale of books, newspapers, stationery and office supplies"
"4762","Retail sale of sporting equipment"
"4763","Retail sale of games and toys"
"4769","Retail sale of cultural and recreational goods n.e.c."
"477","Retail sale of other goods, except motor vehicles and motorcycles"
"4771","Retail sale of clothing, footwear and leather articles"
"4772","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"4773","Retail sale of other new goods n.e.c."
"4774","Retail sale of second-hand goods"
"478","Retail sale of motor vehicles, motorcycles and related parts and accessories"
"4781","Retail sale of motor vehicles"
"4782","Retail sale of motor vehicle parts and accessories"
"4783","Retail sale of motorcycles, motorcycles parts and accessories"
"479","Intermediation service activities for retail sale"
"4790","Intermediation service activities for retail sale"
"H","Transportation and storage"
"49","Land transport and transport via pipelines"
"491","Transport via railways"
"4911","Passenger rail transport, interurban"
"4912","Freight rail transport"
"492","Other land transport"
"4921","Urban and suburban passenger land transport"
"4922","Other passenger land transport"
"4923","Freight transport by road"
"493","Transport via pipeline"
"4930","Transport via pipeline"
"50","Water transport"
"501","Sea and coastal water transport"
"5011","Sea and coastal passenger water transport"
"5012","Sea and coastal freight water transport"
"502","Inland water transport"
"5021","Inland passenger water transport"
"5022","Inland freight water transport"
"51","Air transport"
"511","Passenger air transport"
"5110","Passenger air transport"
"512","Freight air transport"
"5120","Freight air transport"
"52","Warehousing and support activities for transportation"
"521","Warehousing and storage"
"5210","Warehousing and storage"
"522","Support activities for transportation"
"5221","Service activities incidental to land transportation"
"5222","Service activities incidental to water transportation"
"5223","Service activities incidental to air transportation"
"5224","Cargo handling"
"5229","Other support activities for transportation "
"523","Intermediation service activities for transportation"
"5231","Intermediation service activities for freight transportation"
"5232","Intermediation service activities for passenger transportation"
"53","Postal and courier activities"
"531","Postal activities"
"5310","Postal activities"
"532","Courier activities"
"5320","Courier activities"
"533","Intermediation service activities for postal and courier activities"
"5330","Intermediation service activities for postal and courier activities"
"I","Accommodation and food service activities"
"55","Accommodation"
"551","Hotels and similar accommodation activities"
"5510","Hotels and similar accommodation activities"
"552","Other short term accommodation activities"
"5520","Other short term accommodation activities"
"553","Camping grounds, recreational vehicle parks and trailer parks"
"5530","Camping grounds, recreational vehicle parks and trailer parks"
"554","Intermediation service activities for accommodation"
"5540","Intermediation service activities for accommodation"
"559","Other accommodation n.e.c."
"5590","Other accommodation n.e.c."
"56","Food and beverage service activities"
"561","Restaurants and mobile food service activities"
"5610","Restaurants and mobile food service activities"
"562","Event catering and other food service activities"
"5621","Event catering activities"
"5629","Other food service activities"
"563","Beverage serving activities"
"5630","Beverage serving activities"
"564","Intermediation service activities for food and beverage services activities"
"5640","Intermediation service activities for food and beverage services activities"
"J","Publishing, broadcasting, and content production and distribution activities"
"58","Publishing activities"
"581","Publishing of books, newspapers, periodicals and other publishing activities"
"5811","Publishing of books"
"5812","Publishing of newspapers"
"5813","Publishing of journals and periodicals"
"5819","Other publishing activities"
"582","Software publishing"
"5821","Publishing of video games"
"5829","Other software publishing"
"59","Motion picture, video and television programme production, sound recording and music publishing activities"
"591","Motion picture, video and television programme activities"
"5911","Motion picture, video and television programme production activities"
"5912","Motion picture, video and television programme post-production activities"
"5913","Motion picture, video and television programme distribution activities"
"5914","Motion picture projection activities"
"592","Sound recording and music publishing activities"
"5920","Sound recording and music publishing activities"
"60","Programming, broadcasting, news agency and other content distribution activities"
"601","Radio broadcasting and audio distribution activities"
"6010","Radio broadcasting and audio distribution activities"
"602","Television programming, broadcasting and video distribution activities"
"6020","Television programming, broadcasting and video distribution activities"
"603","News agency and other content distribution activities"
"6031","News agency activities"
"6039","Social network sites and other content distribution activities"
"K","Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities"
"61","Telecommunications"
"611","Wired, wireless, and satellite telecommunication activities"
"6110","Wired, wireless, and satellite telecommunication activities"
"612","Telecommunication reselling activities and intermediation service?activities?for telecommunication"
"6120","Telecommunication reselling activities and intermediation service?activities?for telecommunication"
"619","Other telecommunication activities"
"6190","Other telecommunication activities"
"62","Computer programming, consultancy and related activities"
"621","Computer programming activities"
"6211","Development of video games, video game software, and video game software tools"
"6219","Other computer programming activities"
"622","Computer consultancy and computer facilities management activities"
"6220","Computer consultancy and computer facilities management activities"
"629","Other information technology and computer service activities"
"6290","Other information technology and computer service activities"
"63","Computing infrastructure, data processing, hosting, and other information service activities"
"631","Computing infrastructure, data processing, hosting and related activities"
"6310","Computing infrastructure, data processing, hosting and related activities"
"639","Web search portals activities and other information service activities"
"6390","Web search portals activities and other information service activities"
"L","Financial and insurance activities"
"64","Financial service activities, except insurance and pension funding"
"641","Monetary intermediation"
"6411","Central banking"
"6419","Other monetary intermediation"
"642","Activities of holding companies and financing conduits"
"6421","Activities of holding companies"
"6422","Activities of financing conduits"
"643","Activities of trusts, funds and similar financial entities"
"6431","Activities of money market funds"
"6432","Activities of non-money market investments funds"
"6433","Activities of trust, estate and agency accounts"
"649","Other financial service activities, except insurance and pension funding activities"
"6491","Financial leasing activities"
"6492","International trade financing activities"
"6493","Factoring activities"
"6494","Securitisation activities"
"6495","Other credit granting activities"
"6499","Other financial service activities n.e.c., except insurance and pension funding activities"
"65","Insurance, reinsurance and pension funding, except compulsory social security"
"651","Insurance"
"6511","Life insurance"
"6512","Non-life insurance"
"652","Reinsurance"
"6520","Reinsurance"
"653","Pension funding"
"6530","Pension funding"
"66","Activities auxiliary to financial service and insurance activities"
"661","Activities auxiliary to financial services, except insurance and pension funding"
"6611","Administration of financial markets"
"6612","Security and commodity contracts brokerage"
"6619","Other activities auxiliary to financial service activities, except insurance and pension funding "
"662","Activities auxiliary to insurance and pension funding"
"6621","Risk and damage evaluation"
"6622","Activities of insurance agents and brokers"
"6629","Other activities auxiliary to insurance and pension funding"
"663","Fund management activities"
"6630","Fund management activities"
"M","Real estate activities"
"68","Real estate activities"
"681","Real estate activities with own or leased property"
"6810","Real estate activities with own or leased property"
"682","Real estate activities on a fee or contract basis"
"6821","Intermediation service activities for real estate"
"6829","Other real estate activities on a fee or contract basis"
"N","Professional, scientific and technical activities"
"69","Legal and accounting activities"
"691","Legal activities"
"6910","Legal activities"
"692","Accounting, bookkeeping and auditing activities; tax consultancy"
"6920","Accounting, bookkeeping and auditing activities; tax consultancy"
"70","Activities of head offices; management consultancy activities"
"701","Activities of head offices"
"7010","Activities of head offices"
"702","Business and other management consultancy activities"
"7020","Business and other management consultancy activities"
"71","Architectural and engineering activities; technical testing and analysis"
"711","Architectural and engineering, and related technical consultancy activities"
"7110","Architectural and engineering, and related technical consultancy activities"
"712","Technical testing and analysis"
"7120","Technical testing and analysis"
"72","Scientific research and development "
"721","Research and experimental development on natural sciences and engineering"
"7210","Research and experimental development on natural sciences and engineering"
"722","Research and experimental development on social sciences and humanities"
"7220","Research and experimental development on social sciences and humanities"
"73","Activities of advertising, market research and public relations"
"731","Advertising activities "
"7310","Advertising activities "
"732","Market research and public opinion polling activities "
"7320","Market research and public opinion polling activities "
"733","Public relations activities"
"7330","Public relations activities"
"74","Other professional, scientific and technical activities"
"741","Specialized design activities "
"7410","Specialized design activities "
"742","Photographic activities "
"7420","Photographic activities "
"743","Translation and interpretation activities "
"7430","Translation and interpretation activities "
"749","Other professional, scientific and technical activities n.e.c."
"7491","Patent brokering and marketing service activities"
"7499","All other professional, scientific and technical activities n.e.c. "
"75","Veterinary activities "
"750","Veterinary activities "
"7500","Veterinary activities "
"O","Administrative and support service activities"
"77","Rental and leasing activities"
"771","Rental and leasing of motor vehicles"
"7710","Rental and leasing of motor vehicles"
"772","Rental and leasing of personal and household goods"
"7721","Rental and leasing of recreational and sports goods"
"7729","Rental and leasing of other personal and household goods"
"773","Rental and leasing of other machinery, equipment and tangible goods"
"7730","Rental and leasing of other machinery, equipment and tangible goods"
"774","Leasing of intellectual property and similar products, except copyrighted works"
"7740","Leasing of intellectual property and similar products, except copyrighted works"
"775","Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets"
"7751","Intermediation service activities for rental and leasing of cars, motorhomes and trailers"
"7752","Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets"
"78","Employment activities"
"781","Activities of employment placement agencies"
"7810","Activities of employment placement agencies"
"782","Temporary employment agency activities and other human resource provisions"
"7820","Temporary employment agency activities and other human resource provisions"
"79","Travel agency, tour operator, and other travel related activities"
"791","Travel agency and tour operator activities"
"7911","Travel agency activities"
"7912","Tour operator activities"
"799","Other travel related activities"
"7990","Other travel related activities"
"80","Investigation and security activities"
"801","Investigation and security activities"
"8011","Investigation and private security activities"
"8019","Security activities n.e.c."
"81","Services to buildings and landscape activities"
"811","Combined facilities support activities"
"8110","Combined facilities support activities"
"812","Cleaning activities"
"8121","General cleaning of buildings"
"8129","Other cleaning activities"
"813","Landscape service activities"
"8130","Landscape service activities"
"82","Office administrative, office support and other business support activities"
"821","Office administrative and support activities"
"8210","Office administrative and support activities"
"822","Activities of call centres"
"8220","Activities of call centres"
"823","Organization of conventions and trade shows"
"8230","Organization of conventions and trade shows"
"824","Intermediation service activities for business support activities n.e.c., except financial intermediation"
"8240","Intermediation service activities for business support activities n.e.c., except financial intermediation"
"829","Business support service activities n.e.c."
"8291","Activities of collection agencies and credit bureaus"
"8292","Packaging activities"
"8299","Other business support service activities n.e.c."
"P","Public administration and defence; compulsory social security"
"84","Public administration and defence; compulsory social security"
"841","Administration of the State and the economic, social and environmental policies of the community"
"8411","General public administration activities"
"8412","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security and environment"
"8413","Regulation of the activities of providing environmental services"
"8414","Regulation of and contribution to more efficient operation of businesses"
"842","Provision of services to the community as a whole"
"8421","Foreign affairs"
"8422","Defence activities"
"8423","Public order and safety activities"
"843","Compulsory social security activities"
"8430","Compulsory social security activities"
"Q","Education"
"85","Education"
"851","Pre-primary education "
"8510","Pre-primary education "
"852","Primary education "
"8520","Primary education "
"853","Secondary and post-secondary non-tertiary education"
"8531","General secondary education "
"8532","Vocational secondary education"
"8533","Post-secondary non-tertiary education "
"854","Tertiary education"
"8540","Tertiary education"
"855","Other education"
"8551"," Sports and recreation education "
"8552"," Cultural education"
"8553","Driving school activities"
"8559","Other education n.e.c."
"856","Educational support activities"
"8561","Intermediation service activities for courses and tutors"
"8569","Other educational support activities"
"R","Human health and social work activities"
"86","Human health activities"
"861","Hospital activities"
"8610","Hospital activities"
"862","Medical and dental practice activities "
"8620","Medical and dental practice activities "
"869","Other human health activities "
"8691","Intermediation service activities for medical, dental, and other human health services"
"8699","Other human health activities n.e.c"
"87","Residential care activities"
"871","Residential nursing care activities "
"8710","Residential nursing care activities "
"872","Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse"
"8720","Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse"
"873","Residential care activities for older persons or persons with physical disabilities"
"8730","Residential care activities for older persons or persons with physical disabilities"
"879","Other residential care activities"
