NACE21_CODE	LEVEL	NACE21_HEADING	NACE2_CODE	NACE2_HEADING	Common_Content	Mapping_Type
"01.15"	"4"	"01.15 Growing of tobacco"	"01.15"	"01.15 Growing of tobacco"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.15 is mapped to NACE Rev. 2 class 01.15"
"01.16"	"4"	"01.16 Growing of fibre crops"	"01.16"	"01.16 Growing of fibre crops"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.16 is mapped to NACE Rev. 2 class 01.16"
"01.19"	"4"	"01.19 Growing of other non-perennial crops"	"01.19"	"01.19 Growing of other non-perennial crops"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.19 is mapped to NACE Rev. 2 class 01.19"
"01.2"	"3"	"01.2 Growing of perennial crops"	"01.2"	"01.2 Growing of perennial crops"		"NACE Rev. 2.1 group 01.2 is mapped to NACE Rev. 2 group 01.2"
"01.21"	"4"	"01.21 Growing of grapes"	"01.21"	"01.21 Growing of grapes"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.21 is mapped to NACE Rev. 2 class 01.21"
"01.22"	"4"	"01.22 Growing of tropical and subtropical fruits"	"01.22"	"01.22 Growing of tropical and subtropical fruits"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.22 is mapped to NACE Rev. 2 class 01.22"
"01.23"	"4"	"01.23 Growing of citrus fruits"	"01.23"	"01.23 Growing of citrus fruits"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.23 is mapped to NACE Rev. 2 class 01.23"
"01.24"	"4"	"01.24 Growing of pome fruits and stone fruits"	"01.24"	"01.24 Growing of pome fruits and stone fruits"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.24 is mapped to NACE Rev. 2 class 01.24"
"01.25"	"4"	"01.25 Growing of other tree and bush fruits and nuts"	"01.25"	"01.25 Growing of other tree and bush fruits and nuts"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.25 is mapped to NACE Rev. 2 class 01.25"
"01.26"	"4"	"01.26 Growing of oleaginous fruits"	"01.26"	"01.26 Growing of oleaginous fruits"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.26 is mapped to NACE Rev. 2 class 01.26"
"01.27"	"4"	"01.27 Growing of beverage crops"	"01.27"	"01.27 Growing of beverage crops"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.27 is mapped to NACE Rev. 2 class 01.27"
"01.28"	"4"	"01.28 Growing of spices, aromatic, drug and pharmaceutical crops"	"01.28"	"01.28 Growing of spices, aromatic, drug and pharmaceutical crops"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.28 is mapped to NACE Rev. 2 class 01.28"
"01.29"	"4"	"01.29 Growing of other perennial crops"	"01.29"	"01.29 Growing of other perennial crops"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.29 is mapped to NACE Rev. 2 class 01.29"
"01.3"	"3"	"01.3 Plant propagation"	"01.3"	"01.3 Plant propagation"		"NACE Rev. 2.1 group 01.3 is mapped to NACE Rev. 2 group 01.3"
"01.30"	"4"	"01.30 Plant propagation"	"01.30"	"01.30 Plant propagation"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.30 is mapped to NACE Rev. 2 class 01.30"
"01.4"	"3"	"01.4 Animal production"	"01.4"	"01.4 Animal production"		"NACE Rev. 2.1 group 01.4 is mapped to NACE Rev. 2 groups 01.4, 01.6, 03.2"
"01.4"	"3"	"01.4 Animal production"	"01.6"	"01.6 Support activities to agriculture and post-harvest crop activities"		"NACE Rev. 2.1 group 01.4 is mapped to NACE Rev. 2 groups 01.4, 01.6, 03.2"
"01.4"	"3"	"01.4 Animal production"	"03.2"	"03.2 Aquaculture"		"NACE Rev. 2.1 group 01.4 is mapped to NACE Rev. 2 groups 01.4, 01.6, 03.2"
"01.41"	"4"	"01.41 Raising of dairy cattle"	"01.41"	"01.41 Raising of dairy cattle"		"NACE Rev. 2.1 class 01.41 is mapped to NACE Rev. 2 classes 01.41, 01.42"
"01.41"	"4"	"01.41 Raising of dairy cattle"	"01.42"	"01.42 Raising of other cattle and buffaloes"		"NACE Rev. 2.1 class 01.41 is mapped to NACE Rev. 2 classes 01.41, 01.42"
"01.42"	"4"	"01.42 Raising of other cattle and buffaloes"	"01.42"	"01.42 Raising of other cattle and buffaloes"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.42 is mapped to NACE Rev. 2 class 01.42"
"01.43"	"4"	"01.43 Raising of horses and other equines"	"01.43"	"01.43 Raising of horses and other equines"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.43 is mapped to NACE Rev. 2 class 01.43"
"01.44"	"4"	"01.44 Raising of camels and camelids"	"01.44"	"01.44 Raising of camels and camelids"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.44 is mapped to NACE Rev. 2 class 01.44"
"01.45"	"4"	"01.45 Raising of sheep and goats"	"01.45"	"01.45 Raising of sheep and goats"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.45 is mapped to NACE Rev. 2 class 01.45"
"01.46"	"4"	"01.46 Raising of swine and pigs"	"01.46"	"01.46 Raising of swine/pigs"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.46 is mapped to NACE Rev. 2 class 01.46"
"01.47"	"4"	"01.47 Raising of poultry"	"01.47"	"01.47 Raising of poultry"		"NACE Rev. 2.1 class 01.47 is mapped to NACE Rev. 2 classes 01.47, 01.49, 01.62"
"01.47"	"4"	"01.47 Raising of poultry"	"01.49"	"01.49 Raising of other animals"		"NACE Rev. 2.1 class 01.47 is mapped to NACE Rev. 2 classes 01.47, 01.49, 01.62"
"01.47"	"4"	"01.47 Raising of poultry"	"01.62"	"01.62 Support activities for animal production"		"NACE Rev. 2.1 class 01.47 is mapped to NACE Rev. 2 classes 01.47, 01.49, 01.62"
"01.48"	"4"	"01.48 Raising of other animals"	"01.49"	"01.49 Raising of other animals"		"NACE Rev. 2.1 class 01.48 is mapped to NACE Rev. 2 classes 01.49, 03.22"
"01.48"	"4"	"01.48 Raising of other animals"	"03.22"	"03.22 Freshwater aquaculture"		"NACE Rev. 2.1 class 01.48 is mapped to NACE Rev. 2 classes 01.49, 03.22"
"01.5"	"3"	"01.5 Mixed farming"	"01.5"	"01.5 Mixed farming"		"NACE Rev. 2.1 group 01.5 is mapped to NACE Rev. 2 group 01.5"
"01.50"	"4"	"01.50 Mixed farming"	"01.50"	"01.50 Mixed farming"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.50 is mapped to NACE Rev. 2 class 01.50"
"01.6"	"3"	"01.6 Support activities to agriculture and post-harvest crop activities"	"01.6"	"01.6 Support activities to agriculture and post-harvest crop activities"		"NACE Rev. 2.1 group 01.6 is mapped to NACE Rev. 2 group 01.6"
"01.61"	"4"	"01.61 Support activities for crop production"	"01.61"	"01.61 Support activities for crop production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.61 is mapped to NACE Rev. 2 class 01.61"
"01.62"	"4"	"01.62 Support activities for animal production"	"01.62"	"01.62 Support activities for animal production"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.62 is mapped to NACE Rev. 2 class 01.62"
"01.63"	"4"	"01.63 Post-harvest crop activities and seed processing for propagation"	"01.63"	"01.63 Post-harvest crop activities"		"NACE Rev. 2.1 class 01.63 is mapped to NACE Rev. 2 classes 01.63, 01.64"
"01.63"	"4"	"01.63 Post-harvest crop activities and seed processing for propagation"	"01.64"	"01.64 Seed processing for propagation"		"NACE Rev. 2.1 class 01.63 is mapped to NACE Rev. 2 classes 01.63, 01.64"
"01.7"	"3"	"01.7 Hunting, trapping and related service activities"	"01.7"	"01.7 Hunting, trapping and related service activities"		"NACE Rev. 2.1 group 01.7 is mapped to NACE Rev. 2 group 01.7"
"01.70"	"4"	"01.70 Hunting, trapping and related service activities"	"01.70"	"01.70 Hunting, trapping and related service activities"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.70 is mapped to NACE Rev. 2 class 01.70"
"02"	"2"	"02 Forestry and logging"	"02"	"02 Forestry and logging"		"NACE Rev. 2.1 division 02 is mapped to NACE Rev. 2 division 02"
"02.1"	"3"	"02.1 Silviculture and other forestry activities"	"02.1"	"02.1 Silviculture and other forestry activities"		"NACE Rev. 2.1 group 02.1 is mapped to NACE Rev. 2 group 02.1"
"02.10"	"4"	"02.10 Silviculture and other forestry activities"	"02.10"	"02.10 Silviculture and other forestry activities"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 02.10 is mapped to NACE Rev. 2 class 02.10"
"02.2"	"3"	"02.2 Logging"	"02.2"	"02.2 Logging"		"NACE Rev. 2.1 group 02.2 is mapped to NACE Rev. 2 group 02.2"
"02.20"	"4"	"02.20 Logging"	"02.20"	"02.20 Logging"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 02.20 is mapped to NACE Rev. 2 class 02.20"
"02.3"	"3"	"02.3 Gathering of wild growing non-wood products"	"02.3"	"02.3 Gathering of wild growing non-wood products"		"NACE Rev. 2.1 group 02.3 is mapped to NACE Rev. 2 group 02.3"
"02.30"	"4"	"02.30 Gathering of wild growing non-wood products"	"02.30"	"02.30 Gathering of wild growing non-wood products"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 02.30 is mapped to NACE Rev. 2 class 02.30"
"02.4"	"3"	"02.4 Support services to forestry"	"02.4"	"02.4 Support services to forestry"		"NACE Rev. 2.1 group 02.4 is mapped to NACE Rev. 2 group 02.4"
"02.40"	"4"	"02.40 Support services to forestry"	"02.40"	"02.40 Support services to forestry"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 02.40 is mapped to NACE Rev. 2 class 02.40"
"03"	"2"	"03 Fishing and aquaculture"	"03"	"03 Fishing and aquaculture"		"NACE Rev. 2.1 division 03 is mapped to NACE Rev. 2 divisions 03, 33"
"03"	"2"	"03 Fishing and aquaculture"	"33"	"33 Repair and installation of machinery and equipment"		"NACE Rev. 2.1 division 03 is mapped to NACE Rev. 2 divisions 03, 33"
"03.1"	"3"	"03.1 Fishing"	"03.1"	"03.1 Fishing"		"NACE Rev. 2.1 group 03.1 is mapped to NACE Rev. 2 group 03.1"
"03.11"	"4"	"03.11 Marine fishing"	"03.11"	"03.11 Marine fishing"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 03.11 is mapped to NACE Rev. 2 class 03.11"
"03.12"	"4"	"03.12 Freshwater fishing"	"03.12"	"03.12 Freshwater fishing"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 03.12 is mapped to NACE Rev. 2 class 03.12"
"03.2"	"3"	"03.2 Aquaculture"	"03.2"	"03.2 Aquaculture"		"NACE Rev. 2.1 group 03.2 is mapped to NACE Rev. 2 group 03.2"
"03.21"	"4"	"03.21 Marine aquaculture"	"03.21"	"03.21 Marine aquaculture"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 03.21 is mapped to NACE Rev. 2 class 03.21"
"03.22"	"4"	"03.22 Freshwater aquaculture"	"03.22"	"03.22 Freshwater aquaculture"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 03.22 is mapped to NACE Rev. 2 class 03.22"
"03.3"	"3"	"03.3 Support activities for fishing and aquaculture"	"03.1"	"03.1 Fishing"		"NACE Rev. 2.1 group 03.3 is mapped to NACE Rev. 2 groups 03.1, 03.2, 33.1"
"03.3"	"3"	"03.3 Support activities for fishing and aquaculture"	"03.2"	"03.2 Aquaculture"		"NACE Rev. 2.1 group 03.3 is mapped to NACE Rev. 2 groups 03.1, 03.2, 33.1"
"03.3"	"3"	"03.3 Support activities for fishing and aquaculture"	"33.1"	"33.1 Repair of fabricated metal products, machinery and equipment"		"NACE Rev. 2.1 group 03.3 is mapped to NACE Rev. 2 groups 03.1, 03.2, 33.1"
"03.30"	"4"	"03.30 Support activities for fishing and aquaculture"	"03.11"	"03.11 Marine fishing"		"NACE Rev. 2.1 class 03.30 is mapped to NACE Rev. 2 classes 03.11, 03.12, 03.21, 03.22, 33.11"
"03.30"	"4"	"03.30 Support activities for fishing and aquaculture"	"03.12"	"03.12 Freshwater fishing"		"NACE Rev. 2.1 class 03.30 is mapped to NACE Rev. 2 classes 03.11, 03.12, 03.21, 03.22, 33.11"
"03.30"	"4"	"03.30 Support activities for fishing and aquaculture"	"03.21"	"03.21 Marine aquaculture"		"NACE Rev. 2.1 class 03.30 is mapped to NACE Rev. 2 classes 03.11, 03.12, 03.21, 03.22, 33.11"
"03.30"	"4"	"03.30 Support activities for fishing and aquaculture"	"03.22"	"03.22 Freshwater aquaculture"		"NACE Rev. 2.1 class 03.30 is mapped to NACE Rev. 2 classes 03.11, 03.12, 03.21, 03.22, 33.11"
"03.30"	"4"	"03.30 Support activities for fishing and aquaculture"	"33.11"	"33.11 Repair of fabricated metal products"		"NACE Rev. 2.1 class 03.30 is mapped to NACE Rev. 2 classes 03.11, 03.12, 03.21, 03.22, 33.11"
"05"	"2"	"05 Mining of coal and lignite"	"05"	"05 Mining of coal and lignite"		"NACE Rev. 2.1 division 05 is mapped to NACE Rev. 2 divisions 05, 43"
"05"	"2"	"05 Mining of coal and lignite"	"43"	"43 Specialised construction activities"		"NACE Rev. 2.1 division 05 is mapped to NACE Rev. 2 divisions 05, 43"
"05.1"	"3"	"05.1 Mining of hard coal"	"05.1"	"05.1 Mining of hard coal"		"NACE Rev. 2.1 group 05.1 is mapped to NACE Rev. 2 groups 05.1, 43.1"
"05.1"	"3"	"05.1 Mining of hard coal"	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 05.1 is mapped to NACE Rev. 2 groups 05.1, 43.1"
"05.10"	"4"	"05.10 Mining of hard coal"	"05.10"	"05.10 Mining of hard coal"		"NACE Rev. 2.1 class 05.10 is mapped to NACE Rev. 2 classes 05.10, 43.12"
"05.10"	"4"	"05.10 Mining of hard coal"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 05.10 is mapped to NACE Rev. 2 classes 05.10, 43.12"
"05.2"	"3"	"05.2 Mining of lignite"	"05.2"	"05.2 Mining of lignite"		"NACE Rev. 2.1 group 05.2 is mapped to NACE Rev. 2 groups 05.2, 43.1"
"05.2"	"3"	"05.2 Mining of lignite"	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 05.2 is mapped to NACE Rev. 2 groups 05.2, 43.1"
"05.20"	"4"	"05.20 Mining of lignite"	"05.20"	"05.20 Mining of lignite"		"NACE Rev. 2.1 class 05.20 is mapped to NACE Rev. 2 classes 05.20, 43.12"
"05.20"	"4"	"05.20 Mining of lignite"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 05.20 is mapped to NACE Rev. 2 classes 05.20, 43.12"
"06"	"2"	"06 Extraction of crude petroleum and natural gas"	"06"	"06 Extraction of crude petroleum and natural gas"		"NACE Rev. 2.1 division 06 is mapped to NACE Rev. 2 division 06"
"06.1"	"3"	"06.1 Extraction of crude petroleum"	"06.1"	"06.1 Extraction of crude petroleum"		"NACE Rev. 2.1 group 06.1 is mapped to NACE Rev. 2 group 06.1"
"06.10"	"4"	"06.10 Extraction of crude petroleum"	"06.10"	"06.10 Extraction of crude petroleum"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 06.10 is mapped to NACE Rev. 2 class 06.10"
"06.2"	"3"	"06.2 Extraction of natural gas"	"06.2"	"06.2 Extraction of natural gas"		"NACE Rev. 2.1 group 06.2 is mapped to NACE Rev. 2 group 06.2"
"06.20"	"4"	"06.20 Extraction of natural gas"	"06.20"	"06.20 Extraction of natural gas"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 06.20 is mapped to NACE Rev. 2 class 06.20"
"07"	"2"	"07 Mining of metal ores"	"07"	"07 Mining of metal ores"		"NACE Rev. 2.1 division 07 is mapped to NACE Rev. 2 divisions 07, 43"
"07"	"2"	"07 Mining of metal ores"	"43"	"43 Specialised construction activities"		"NACE Rev. 2.1 division 07 is mapped to NACE Rev. 2 divisions 07, 43"
"07.1"	"3"	"07.1 Mining of iron ores"	"07.1"	"07.1 Mining of iron ores"		"NACE Rev. 2.1 group 07.1 is mapped to NACE Rev. 2 groups 07.1, 43.1"
"07.1"	"3"	"07.1 Mining of iron ores"	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 07.1 is mapped to NACE Rev. 2 groups 07.1, 43.1"
"07.10"	"4"	"07.10 Mining of iron ores"	"07.10"	"07.10 Mining of iron ores"		"NACE Rev. 2.1 class 07.10 is mapped to NACE Rev. 2 classes 07.10, 43.12"
"07.10"	"4"	"07.10 Mining of iron ores"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 07.10 is mapped to NACE Rev. 2 classes 07.10, 43.12"
"07.2"	"3"	"07.2 Mining of non-ferrous metal ores"	"07.2"	"07.2 Mining of non-ferrous metal ores"		"NACE Rev. 2.1 group 07.2 is mapped to NACE Rev. 2 groups 07.2, 43.1"
"07.2"	"3"	"07.2 Mining of non-ferrous metal ores"	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 07.2 is mapped to NACE Rev. 2 groups 07.2, 43.1"
"07.21"	"4"	"07.21 Mining of uranium and thorium ores"	"07.21"	"07.21 Mining of uranium and thorium ores"		"NACE Rev. 2.1 class 07.21 is mapped to NACE Rev. 2 classes 07.21, 43.12"
"07.21"	"4"	"07.21 Mining of uranium and thorium ores"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 07.21 is mapped to NACE Rev. 2 classes 07.21, 43.12"
"07.29"	"4"	"07.29 Mining of other non-ferrous metal ores"	"07.29"	"07.29 Mining of other non-ferrous metal ores"		"NACE Rev. 2.1 class 07.29 is mapped to NACE Rev. 2 classes 07.29, 43.12"
"07.29"	"4"	"07.29 Mining of other non-ferrous metal ores"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 07.29 is mapped to NACE Rev. 2 classes 07.29, 43.12"
"08"	"2"	"08 Other mining and quarrying"	"08"	"08 Other mining and quarrying"		"NACE Rev. 2.1 division 08 is mapped to NACE Rev. 2 divisions 08, 43"
"08"	"2"	"08 Other mining and quarrying"	"43"	"43 Specialised construction activities"		"NACE Rev. 2.1 division 08 is mapped to NACE Rev. 2 divisions 08, 43"
"08.1"	"3"	"08.1 Quarrying of stone, sand and clay"	"08.1"	"08.1 Quarrying of stone, sand and clay"		"NACE Rev. 2.1 group 08.1 is mapped to NACE Rev. 2 groups 08.1, 43.1"
"08.1"	"3"	"08.1 Quarrying of stone, sand and clay"	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 08.1 is mapped to NACE Rev. 2 groups 08.1, 43.1"
"08.11"	"4"	"08.11 Quarrying of ornamental stone, limestone, gypsum, slate and other stone"	"08.11"	"08.11 Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"		"NACE Rev. 2.1 class 08.11 is mapped to NACE Rev. 2 classes 08.11, 43.12"
"08.11"	"4"	"08.11 Quarrying of ornamental stone, limestone, gypsum, slate and other stone"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.11 is mapped to NACE Rev. 2 classes 08.11, 43.12"
"08.12"	"4"	"08.12 Operation of gravel and sand pits and mining of clay and kaolin"	"08.12"	"08.12 Operation of gravel and sand pits; mining of clays and kaolin"		"NACE Rev. 2.1 class 08.12 is mapped to NACE Rev. 2 classes 08.12, 43.12"
"08.12"	"4"	"08.12 Operation of gravel and sand pits and mining of clay and kaolin"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.12 is mapped to NACE Rev. 2 classes 08.12, 43.12"
"08.9"	"3"	"08.9 Mining and quarrying n.e.c."	"08.9"	"08.9 Mining and quarrying n.e.c."		"NACE Rev. 2.1 group 08.9 is mapped to NACE Rev. 2 groups 08.9, 43.1"
"08.9"	"3"	"08.9 Mining and quarrying n.e.c."	"43.1"	"43.1 Demolition and site preparation"		"NACE Rev. 2.1 group 08.9 is mapped to NACE Rev. 2 groups 08.9, 43.1"
"08.91"	"4"	"08.91 Mining of chemical and fertiliser minerals"	"08.91"	"08.91 Mining of chemical and fertiliser minerals"		"NACE Rev. 2.1 class 08.91 is mapped to NACE Rev. 2 classes 08.91, 43.12"
"08.91"	"4"	"08.91 Mining of chemical and fertiliser minerals"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.91 is mapped to NACE Rev. 2 classes 08.91, 43.12"
"08.92"	"4"	"08.92 Extraction of peat"	"08.92"	"08.92 Extraction of peat"		"NACE Rev. 2.1 class 08.92 is mapped to NACE Rev. 2 classes 08.92, 43.12"
"08.92"	"4"	"08.92 Extraction of peat"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.92 is mapped to NACE Rev. 2 classes 08.92, 43.12"
"08.93"	"4"	"08.93 Extraction of salt"	"08.93"	"08.93 Extraction of salt"		"NACE Rev. 2.1 class 08.93 is mapped to NACE Rev. 2 classes 08.93, 43.12"
"08.93"	"4"	"08.93 Extraction of salt"	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.93 is mapped to NACE Rev. 2 classes 08.93, 43.12"
"08.99"	"4"	"08.99 Other mining and quarrying n.e.c."	"08.99"	"08.99 Other mining and quarrying n.e.c."		"NACE Rev. 2.1 class 08.99 is mapped to NACE Rev. 2 classes 08.99, 43.12"
"08.99"	"4"	"08.99 Other mining and quarrying n.e.c."	"43.12"	"43.12 Site preparation"		"NACE Rev. 2.1 class 08.99 is mapped to NACE Rev. 2 classes 08.99, 43.12"
"09"	"2"	"09 Mining support service activities"	"09"	"09 Mining support service activities"		"NACE Rev. 2.1 division 09 is mapped to NACE Rev. 2 division 09"
"09.1"	"3"	"09.1 Support activities for petroleum and natural gas extraction"	"09.1"	"09.1 Support activities for petroleum and natural gas extraction"		"NACE Rev. 2.1 group 09.1 is mapped to NACE Rev. 2 group 09.1"
"09.10"	"4"	"09.10 Support activities for petroleum and natural gas extraction"	"09.10"	"09.10 Support activities for petroleum and natural gas extraction"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 09.10 is mapped to NACE Rev. 2 class 09.10"
"09.9"	"3"	"09.9 Support activities for other mining and quarrying"	"09.9"	"09.9 Support activities for other mining and quarrying"		"NACE Rev. 2.1 group 09.9 is mapped to NACE Rev. 2 group 09.9"
"09.90"	"4"	"09.90 Support activities for other mining and quarrying"	"09.90"	"09.90 Support activities for other mining and quarrying"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 09.90 is mapped to NACE Rev. 2 class 09.90"
"10"	"2"	"10 Manufacture of food products"	"10"	"10 Manufacture of food products"		"NACE Rev. 2.1 division 10 is mapped to NACE Rev. 2 division 10"
"10.1"	"3"	"10.1 Processing and preserving of meat and production of meat products"	"10.1"	"10.1 Processing and preserving of meat and production of meat products"		"NACE Rev. 2.1 group 10.1 is mapped to NACE Rev. 2 group 10.1"
"10.11"	"4"	"10.11 Processing and preserving of meat, except of poultry meat"	"10.11"	"10.11 Processing and preserving of meat"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 10.11 is mapped to NACE Rev. 2 class 10.11"
"10.12"	"4"	"10.12 Processing and preserving of poultry meat"	"10.12"	"10.12 Processing and preserving of poultry meat"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 10.12 is mapped to NACE Rev. 2 class 10.12"
