name_company,sector,technology,production_unit,year,production,emission_factor,country_of_domicile,plant_location,number_of_assets,is_ultimate_owner,is_ultimate_listed_owner,ald_timestamp
aba hydropower generation co ltd,power,hydrocap,MW,2038,89382.07324841147,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2039,87623.74731858858,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2040,85865.42138876568,NA,DM,MY,5,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2013,4632983.696164098,0.6426572590973129,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2014,4875108.571368735,0.6541472277039918,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2015,5117233.446573373,0.6656371963106709,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2016,5359358.321778011,0.6771271649173498,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2017,5601483.196982648,0.6886171335240289,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2018,5843608.072187286,0.7001071021307078,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2019,6085732.9473919235,0.7115970707373869,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2020,6327857.822596561,0.7230870393440658,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2021,6569982.697801199,0.7345770079507448,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2022,6812107.573005836,0.7460669765574238,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2023,7054232.448210474,0.7575569451641028,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2024,7296357.323415112,0.7690469137707818,AO,CI,9,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tons per year,2025,7538482.198619749,0.7805368823774608,AO,CI,9,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2013,11347.848041937763,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2014,11744.773795444602,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2015,12141.699548951441,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2016,12538.62530245828,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2017,12935.55105596512,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2018,13332.47680947196,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2019,13729.4025629788,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2020,14126.328316485638,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2021,14523.254069992478,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2022,14920.179823499317,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2023,15317.105577006156,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2024,15714.031330512997,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2025,16110.957084019836,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2026,16507.882837526675,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2027,16904.808591033514,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2028,17301.734344540353,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2029,17698.660098047192,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2030,18095.58585155403,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2031,18492.51160506087,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2032,18889.43735856771,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2033,19286.36311207455,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2034,19683.288865581388,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2035,20080.214619088227,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2036,20477.140372595066,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2037,20874.066126101905,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2038,21270.991879608748,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2039,21667.917633115587,NA,AS,MW,6,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2040,22064.843386622426,NA,AS,MW,6,TRUE,FALSE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2013,32422050.652607474,4765807.852467671,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2014,31919907.220158126,4406059.615706608,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2015,31417763.787708778,4046311.378945545,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2016,30915620.355259433,3686563.1421844815,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2017,30413476.922810085,3326814.9054234186,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2018,29911333.490360737,2967066.6686623553,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2019,29409190.05791139,2607318.431901292,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2020,28907046.62546204,2247570.1951402286,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2021,28404903.193012692,1887821.9583791657,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2022,27902759.760563344,1528073.7216181024,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2023,27400616.328113995,1168325.484857039,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2024,26898472.89566465,808577.2480959762,CD,CM,1,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2025,26396329.463215303,448829.01133491244,CD,CM,1,TRUE,TRUE,1994Q1
africon shipping sa,shipping,f,active ships,2013,5.604665923397988,39034905.97840952,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2014,6.003047080865751,38199124.69829008,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2015,6.401428238333513,37363343.41817064,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2016,6.799809395801276,36527562.1380512,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2017,7.198190553269038,35691780.85793176,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2018,7.596571710736802,34855999.57781232,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2019,7.994952868204564,34020218.29769288,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2020,8.393334025672328,33184437.01757344,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2021,8.791715183140088,32348655.737453997,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2022,9.190096340607852,31512874.457334556,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2023,9.588477498075616,30677093.177215114,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2024,9.986858655543376,29841311.897095677,RE,RW,6,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2025,10.38523981301114,29005530.616976235,RE,RW,6,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2013,26562.047717487963,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2014,25258.23711504385,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2015,23954.426512599734,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2016,22650.61591015562,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2017,21346.8053077115,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2018,20042.994705267385,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2019,18739.18410282327,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2020,17435.373500379155,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2021,16131.562897935039,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2022,14827.752295490924,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2023,13523.941693046809,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2024,12220.131090602694,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2025,10916.320488158577,NA,GR,DM,4,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2026,9612.50988571446,NA,GR,DM,4,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2013,23358.51234367053,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2014,22753.547078434618,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2015,22148.581813198703,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2016,21543.616547962793,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2017,20938.651282726878,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2018,20333.686017490967,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2019,19728.720752255053,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2020,19123.75548701914,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2021,18518.790221783227,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2022,17913.824956547316,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2023,17308.8596913114,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2024,16703.89442607549,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2025,16098.929160839576,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2026,15493.963895603665,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2027,14888.998630367752,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2028,14284.033365131838,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2029,13679.068099895927,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2030,13074.102834660012,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2031,12469.137569424101,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2032,11864.172304188189,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2033,11259.207038952276,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2034,10654.241773716363,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2035,10049.27650848045,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2036,9444.311243244538,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2037,8839.345978008625,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2038,8234.380712772712,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2039,7629.4154475368,NA,MX,NE,5,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2040,7024.450182300887,NA,MX,NE,5,TRUE,FALSE,1994Q1
airasia x bhd,aviation,passenger,active planes,2013,668.2614558287896,38890956.65890424,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2014,653.3735761616068,38383185.84257696,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2015,638.4856964944241,37875415.02624967,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2016,623.5978168272413,37367644.20992239,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2017,608.7099371600585,36859873.3935951,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2018,593.8220574928758,36352102.57726782,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2019,578.934177825693,35844331.76094054,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2020,564.0462981585102,35336560.94461325,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2021,549.1584184913276,34828790.12828597,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2022,534.2705388241448,34321019.311958686,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2023,519.382659156962,33813248.4956314,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2024,504.49477948977926,33305477.679304115,AF,EG,8,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2025,489.60689982259646,32797706.86297683,AF,EG,8,TRUE,TRUE,1994Q1
airbaltic,aviation,passenger,active planes,2013,239.27201726054773,38331477.68498369,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2014,324.7567198590841,38157080.55367076,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2015,410.2414224576205,37982683.42235781,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2016,495.7261250561569,37808286.291044876,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2017,581.2108276546933,37633889.15973194,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2018,666.6955302532297,37459492.028419,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2019,752.180232851766,37285094.89710607,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2020,837.6649354503024,37110697.76579312,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2021,923.1496380488388,36936300.634480186,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2022,1008.6343406473752,36761903.50316725,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2023,1094.1190432459116,36587506.371854305,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2024,1179.603745844448,36413109.24054137,CZ,TH,5,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2025,1265.0884484429844,36238712.10922843,CZ,TH,5,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2013,314.04720629705116,36618054.586547226,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2014,314.9934597366567,36713401.74331214,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2015,315.9397131762623,36808748.90007706,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2016,316.8859666158678,36904096.05684198,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2017,317.83222005547333,36999443.213606894,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2018,318.7784734950789,37094790.37037181,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2019,319.72472693468444,37190137.52713673,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2020,320.67098037428997,37285484.683901645,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2021,321.61723381389555,37380831.84066656,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2022,322.5634872535011,37476178.99743148,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2023,323.5097406931066,37571526.1541964,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2024,324.4559941327122,37666873.31096131,MX,VU,4,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2025,325.4022475723177,37762220.46772623,MX,VU,4,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2013,611.8953913752921,34107541.70936398,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2014,641.7223012112858,34072206.629152626,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2015,671.5492110472793,34036871.54894126,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2016,701.376120883273,34001536.468729906,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2017,731.2030307192666,33966201.38851854,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2018,761.0299405552603,33930866.308307186,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2019,790.8568503912538,33895531.22809583,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2020,820.6837602272475,33860196.147884466,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2021,850.510670063241,33824861.06767311,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2022,880.3375798992347,33789525.987461746,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2023,910.1644897352284,33754190.90725039,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2024,939.9913995712219,33718855.827039026,JP,IN,7,TRUE,FALSE,1994Q1
airborne of sweden,aviation,passenger,active planes,2025,969.8183094072156,33683520.74682767,JP,IN,7,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2013,17.29679996985942,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2014,16.978009673999622,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2015,16.659219378139824,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2016,16.340429082280025,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2017,16.021638786420226,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2018,15.702848490560427,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2019,15.384058194700629,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2020,15.06526789884083,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2021,14.746477602981031,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2022,14.427687307121232,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2023,14.108897011261433,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2024,13.790106715401635,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
airbus transport international,aviation,freight,active planes,2025,13.471316419541836,181176986.93664,PH,KP,5,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2013,29.18886430421844,23128726.15576054,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2014,27.96298724661271,26239610.54896293,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2015,26.737110189006973,29350494.942165315,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2016,25.51123313140124,32461379.335367706,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2017,24.28535607379551,35572263.72857009,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2018,23.059479016189773,38683148.12177248,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2019,21.83360195858404,41794032.51497487,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2020,20.607724900978305,44904916.90817726,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2021,19.381847843372576,48015801.30137964,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2022,18.15597078576684,51126685.69458203,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2023,16.930093728161104,54237570.087784424,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2024,15.704216670555374,57348454.48098681,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,d,active ships,2025,14.47833961294964,60459338.8741892,CL,AU,6,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2013,1.3288420647149906,56850223.883808084,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2014,2.5870914969903724,53468274.71435506,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2015,3.8453409292657548,50086325.54490203,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2016,5.103590361541137,46704376.375449,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2017,6.361839793816519,43322427.20599598,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2018,7.620089226091902,39940478.036542945,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2019,8.878338658367284,36558528.86708992,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2020,10.136588090642666,33176579.69763689,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2021,11.394837522918047,29794630.528183866,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2022,12.65308695519343,26412681.358730838,CW,KI,7,TRUE,FALSE,1994Q1
akij shipping line ltd,shipping,e,active ships,2023,13.911336387468813,23030732.189277805,CW,KI,7,TRUE,FALSE,1994Q1
